Category,dbID,siteID,SiteName,SubTitle,Lat,Lon,Desc,Sview,Sviewlat,Sviewlong,Heading,Zoom,Pitch,top,mapzoom,sponsor,Categ,image
Historic,176,e47,Marlbank Ghost Town    ,,44.392626,-77.317768,"The mining industry is well known for its ups and downs and Ontario has several ghost towns (e.g., Sites [E5], [N3]). One of the best is at Marlbank north of Napanee.  It was once home to several hundred people involved in making cement; not just ordinary cement but a special type called Portland Cement between Named after Portland, England, this very strong cement is made from a mixture of crushed [Limestone] and marl (chalky[ Mud ]containing silica) that has accumulated on the floors of lakes in the area, and which is then fired in ovens at 1450C to drive off any water. Note the milky white colour of Dry Lake today. The most prominent landmark left is the refurbished one hundred years old Phoenix Tavern (in reference to its having been rebuilt twice after fires). Old abandoned buildings including the remains of brick chimneys are being overtaken by trees on the north side of Dry Lake on Marlbank Road a few kilometres out of town.  Marlbank's cement was hauled by rail to Deseronto on Lake Ontario and used in the Panama Canal.  In production between 1891 and 1914, the First World War impacted the operation by draining many men away to Europe. ",n,,,,,,n,14,a,5,http://planetrocks.ca/wp-content/uploads/E47.png
Rocks and Minerals,177,e48,Potsdam Sandstone,Back to the Cambrian,44.345174,-75.87694,"The Potsdam [Sandstone] is a late Cambrian age [Sedimentary rock] (about 500 million years old), the oldest [Paleozoic] rock found anywhere in Ontario, recording desert-like sedimentation across the very irregular surface of the Canadian [Shield]. The Nepean [Sandstone] with its ancient[ Sand ]dunes, is a somewhat younger but related rock exposed in the Kingston area (Site [E40]). It is often bright red or green in colour due to iron or chlorite respectively. A superb, easily accessible [Outcrop] 4 kilometres east of Alexandria Bay on Highway 12 in New York State near the St. Lawrence River and the Canada-US border exposes Potsdam resting on [Precambrian] [Gneisses] below which in place are deeply weathered. This is an excellent example of an '[Unconformity]' where the [Precambrian] rises to the surface along the Frontenac Arch (See also Sites [E13], [E14], [C38], [C56], [C57]) exposing the contact between 1 billion year old metamorphic and [Igneous rocks] of the [Shield] with overlying [Sedimentary rocks] that are younger than 500 million.",y,,,276.25,0,-6.77,n,16,,4,http://planetrocks.ca/wp-content/uploads/E48.png
Rocks and Minerals,178,e49,"Metcalfe Geoheritage Park, Almonte ",,45.223871,-76.199147,The Metcalfe Geoheritage Park in Metcalfe Park beside the Mississippi River in Almonte has more than thirty blocks of local rock representative of the geology of the Ottawa region (See also Sites [S66] and [N7]). It is located on Almonte Street (Highway 49) and Mill Street.,y,,,322.24,0,-4.72,n,16,a,4,http://planetrocks.ca/wp-content/uploads/E49.png
Rocks and Minerals,179,e50,Groovey Limestones,,44.306221,-76.727676,"Well-developed rock [Drumlins] and megaflutes adorn the many [Escarpments] found on the [Limestone] plains of the Bruce Peninsula, on Manitoulin Island ([N44]) and the area north of Kingston where Wilton Road crosses a large patch of megagrooves and ridges cut in rock by the last southwest flowing, [Ice sheet]. Essentially these are gigantic [Striations]. The road cuts across the ridges and grooves. ",y,,,44.24,0,2.91,n,16,,4,http://planetrocks.ca/wp-content/uploads/E50.png
Earth History,180,e51,Lake on the Mountain at Picton,A One-of-a-kind Doline,44.040091,-77.056078,"[Limestone] is the most common rock type found across large areas of southern Ontario (e.g. [C24], [C25], [S42]) and is easily dissolved by water to form underground caves and tunnels that make up so-called 'karst landforms' ([S47], [E3]). Caves grow to large sizes and the 37 metres deep lake found high above Lake Ontario on 'the Mountain' at Picton is probably a so-called 'doline' formed when the roof of a large underground cave collapsed forming a large crater-like depression that filled with water.  If so, this is the only example of this type of[ Karst ]landform so far known in Ontario. It is also likely that it was scoured out by the last [Ice sheet] to have covered Ontario between 25,000 and 10,000 years ago.",n,,,,,,n,13,,6,http://planetrocks.ca/wp-content/uploads/E51.png
Rocks and Minerals,181,e52,Miller Museum,,44.22774,-76.492795,"The Miller Museum contains a small collection of rocks, minerals and fossils from the Queen's University Department of Geology focussed on local Kingston geology. It is open for free public visits on weekdays.",y,,,172.69,0,-11.96,n,16,,4,http://planetrocks.ca/wp-content/uploads/E52.png
Nature,182,e53,Listening to the Landscape ,Al Purdy and the 'Land In Between',44.384744,-77.246182,"Ontario's landscapes have stimulated many artists, mostly in paint. The widely acclaimed 'Voice of the Land' was A. Purdy (1918-2000) who was born in Wooler just north of Trenton. He lived on the shores of Roblin Lake near Ameliasburg in Prince Edward County and was familiar with the so-called 'Land in Between' just to the north where the [Limestone] plains (Site [C24]) abuts the southern edge of the Canadian [Shield] (Site [C21]).  It is a curious, seemingly inhospitable but strangely attractive landscape of bare [Limestone], hummocks of bouldery Dummer [Moraine] (Site [C48]), farms that have gone back to bush, lakes and forest with the odd small patch of glacial[ Sediment ]that can be grazed. Few people ever take the time to explore it but it comes alive in the Fall when dark rock is exposed by thinning foliage and juxtaposed against red maples; a classic Ontario landscape. Purdy wrote his most famous poem 'The Country North of Belleville' in which he contrasted the 'fat south' of rich farms and deep soils with the 'country of our defeat' and the many hills that 'picknicking glaciers have left strewn with centuries' rubble.'",y,,,280.2,0,-4.96,n,16,a,8,http://planetrocks.ca/wp-content/uploads/E53.png
Rocks and Minerals,183,e54,Highway 41 at Kaladar,Crossing an Ocean of Gneiss ,44.648139,-77.121584,"[ Foliation ]' is the name given to the pronounced[ Mineral ]banding seen in highly metamorphosed rocks such as [Gneisses] that were buried and heated under great [Pressure] (Site [C8]). The same word is used for the [Topography] of much of the Canadian [Shield] expressed as a distinctly corrugated [Topography] of ridges and swales no better seen than around the Kaladar area of central Ontario. Drive north on Highway 41 from Kaladar toward Bon Echo Provincial Park and the landscape resembles the swells and troughs on an ocean. Not surprisingly nineteenth century geologists referred to the [Shield] as an 'ocean of [Gneiss].' The [Topography] reflects tightly folded rocks that were squeezed between colliding crustal blocks (terranes) about 1 billion years ago during the Grenville [Orogeny] (Sites [C2], [C4], [C5], [C6], [C7], [C8]).",n,,,,,,n,13,a,4,http://planetrocks.ca/wp-content/uploads/E54.png
Historic,184,e55,Fort Henry,,44.231897,-76.459121,"Fort Henry in Kingston (Site [E41]) at the mouth of the Cataraqui River was built by the British Army between 1832 to 1837, a reminder that even then our relations with the United States were still strained almost 20 years after the War of 1812 to 1814. This impressive fort guards the entrance to the Rideau Canal (Site [E25]) which allowed overland passage to Ottawa and thus down the Ottawa River to Montreal thereby avoiding the contested St. Lawrence River. The fort never saw any military action and the Army withdrew in 1870; it was used as an internment camp in the Rebellion of 1837 to 1838 (See [E19]) and in both world wars. It is open to the public and is part of the Kingston Fortifications (Sites [E57], [E58], [E60])",y,,,146.74,0,-8.93,n,15,,5,http://planetrocks.ca/wp-content/uploads/E55.png
Historic,185,e56,Fort Wellington,,44.713177,-75.509592,"Initially built in 1812 to defend the St. Lawrence Shipping Route between Montreal and Kingston against American attackers, Fort Wellington has been a rally point for many famous Canadian skirmishes including the Battle of Windmill (Site [E19]).  Today it is a historic site commissioned by Parks Canada and is open to the public with interpretation centres and re-enactments.",y,44.714214,-75.508548,182.15,0,-4.87,n,16,,5,http://planetrocks.ca/wp-content/uploads/E56.png
Historic,186,e57,Fort Frederick,Kingston Fortifications,44.227777,-76.469565,"Named after Frederick, Prince of Wales, Fort Frederick was one of many forts built in 1812 meant to fend off American naval attacks on the Kingston Royal Naval Dockyard that guarded the St. Lawrence and Rideau Canal. It later became one of many Martello Towers (Sites [E55], [E58], [E60]) making up the Kingston Fortifications. Today it is a National historic site and museum open to the public on The Royal Military College campus (Site [E65]). ",n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/E57.png
Historic,187,e58,Murney Martello Tower,,44.222345,-76.49052,"Martello towers were built as fortified lookouts against possible American attack. Murney Tower (originally Murray Tower) was built in 1846 as part the Kingston Harbor Defense system to compliment Fort Frederick (Site [E57], Fort Henry (Site [E55]), and Shoal Tower (Site [E60]. In its short service during the Oregon Crisis (1845-1846) it never saw action and quickly became obsolete due to rapid advancements in military technology. ",y,44.222737,-76.490627,173.51,0,-10.63,n,17,,5,http://planetrocks.ca/wp-content/uploads/E58.png
Historic,188,e59,Glengarry Cairn,,45.121817,-74.48985,This was erected by the Highland Militia of Glengarry which had aided in the suppression of the Canadian Rebellion of 1837-38 (Site [E19]) to commemorate Sir John Colborne commander of her majesty's forces in Canada at that critical period. He had served with conspicuous merit throughout the Peninsular War and distinguished himself at Waterloo. He was Lieut. Governor of Upper Canada from November 1828 to January 1836.,n,,,,,,n,15,,5,http://planetrocks.ca/wp-content/uploads/E59.png
Historic,189,e60,Shoal Tower,Confederation Park,44.229547,-76.479779,"Built on an artificial shoal across from Kingston City Hall,  Shoal Tower is part of the Kingston Fortifications (Sites [E55], [E57], [E58])  built during the Oregon Crisis where border disputes between British Columbia and Oregon threatened another war between Canada and the US. Though the park is public, the tower itself is closed except on special occasions.",y,44.229762,-76.480243,125.39,0,-1.51,n,17,,5,http://planetrocks.ca/wp-content/uploads/E60.png
Historic,190,e61,CFS Carp,Diefenbunker,45.351444,-76.04797,"in 1958, Canadian Prime Minister John Diefenbaker called for the construction of 'Emergency Government Shelters' to protect high value government members from what seemed like an imminent nuclear attack; especially during the Cuban missile Crisis. The largest was CFS Carp, constructed to withstand all but a direct hit from an intercontinental ballistic missile (ICBM). Decommissioned in 1994 it is now a National historic Site and a Cold war museum.",n,,,,,,n,16,,5,http://planetrocks.ca/wp-content/uploads/E61.png
Nature,191,e62,Wolfe Island,,44.11757,-76.438114,Wolfe Island is the largest of the Thousand Islands (Site [E17]) where Lake Ontario drains out through the St. Lawrence River near Kingston known as 'the [Limestone] city' (Site [E41]). It was named by John Graves Simcoe first Lieutenant Governor of Upper Canada from 1791–1796 after General James Wolfe the famous victor at the Battle of the Heights of Abraham just outside Quebec City which secured Canada for the British in 1759. Wolfe is buried in St.Alfege's church in Greenwich England and his statue in nearby Greenwich Park overlooks the River Thames and the Old Naval College and Maritime Museum and is just metres away from the Greenwich Meridian.  The Big Sandy Bay Management Area on Wolfe Island is an area of significant scientific interest; snowy owls overwinter. ,n,,,,,,n,14,,8,http://planetrocks.ca/wp-content/uploads/E62.png
